id,name,lines
L06,1 Av,L
119,103 St,1
624,103 St,4 6 6X
A18,103 St,A B C
706,103 St-Corona Plaza,7
A63,104 St,A
J14,104 St,J Z
623,110 St,4 6 6X
227,110 St-Malcolm X Plaza,2 3
705,111 St,7
A64,111 St,A
J13,111 St,J
226,116 St,2 3
622,116 St,4 6 6X
A16,116 St,A B C
117,116 St-Columbia University,1
J12,121 St,J Z
116,125 St,1
225,125 St,2 3
621,125 St,4 5 6 6X
A15,125 St,A B C D
224,135 St,2 3
A14,135 St,A B C
115,137 St-City College,1
416,138 St-Grand Concourse,4 5
132,14 St,1 2 3
A31,14 St,A C E
D19,14 St,F FX M
635,14 St-Union Sq,4 5 6 6X
L03,14 St-Union Sq,L
R20,14 St-Union Sq,N Q R W
114,145 St,1
A12,145 St,A C
D13,145 St,B D
302,145 St,3
222,149 St-Grand Concourse,2 5
415,149 St-Grand Concourse,4
F25,15 St-Prospect Park,F G
A11,155 St,A C
D12,155 St,B D
113,157 St,1
414,161 St-Yankee Stadium,4
D11,161 St-Yankee Stadium,B D
A10,163 St-Amsterdam Av,A C
413,167 St,4
D10,167 St,B D
A09,168 St,A C
112,168 St-Washington Hts,1
F02,169 St,E F FX
412,170 St,4
D09,170 St,B D
215,174 St,2 5
D08,174-175 Sts,B D
A07,175 St,A
410,176 St,4
F30,18 Av,F FX
N05,18 Av,N W
B19,18 Av,D
131,18 St,1 2
111,181 St,1
A06,181 St,A
D06,182-183 Sts,B D
408,183 St,4
A05,190 St,A
110,191 St,1
F14,2 Av,F FX
N06,20 Av,N W
B20,20 Av,D
108,207 St,1
G24,21 St,G
B04,21 St-Queensbridge,F M
107,215 St,1
207,219 St,2 5
206,225 St,2 5
130,23 St,1 2
A30,23 St,A C E
D18,23 St,F FX M
R19,23 St,N Q R W
634,23 St-Baruch College,4 6 6X
104,231 St,1
205,233 St,2 5
103,238 St,1
B22,25 Av,D
R35,25 St,D N R W
129,28 St,1 2
633,28 St,4 6 6X
R18,28 St,N Q R W
L05,3 Av,L
619,3 Av-138 St,6 6X
221,3 Av-149 St,2 5
R04,30 Av,N W
632,33 St,4 6 6X
716,33 St-Rawson St,7 7X
D17,34 St-Herald Sq,B D F FX M
R17,34 St-Herald Sq,N Q R W
726,34 St-Hudson Yards,7 7X
128,34 St-Penn Station,1 2 3
A28,34 St-Penn Station,A C E
R06,36 Av,N W
G20,36 St,E F M R
R36,36 St,D N R W
R08,39 Av-Dutch Kills,N W
F23,4 Av-9 St,F G
R33,4 Av-9 St,D N R W
715,40 St-Lowery St,7 7X
D16,42 St-Bryant Pk,B D F FX M
A27,42 St-Port Authority Bus Terminal,A C E
R39,45 St,N R W
G18,46 St,E F M R
714,46 St-Bliss St,7 7X
D15,47-50 Sts-Rockefeller Ctr,B D F FX M
R15,49 St,N Q R W
724,5 Av,7 7X
F12,5 Av/53 St,E F FX
R13,5 Av/59 St,N R W
126,50 St,1 2
A25,50 St,A C E
B14,50 St,D
630,51 St,4 6 6X
713,52 St,7 7X
R40,53 St,N R W
B15,55 St,D
B10,57 St,F M
R14,57 St-7 Av,N Q R W
629,59 St,4 5 6 6X
R41,59 St,N R W
125,59 St-Columbus Circle,1 2
A24,59 St-Columbus Circle,A B C D
L02,6 Av,L
712,61 St-Woodside,7 7X
B16,62 St,D R W
G10,63 Dr-Rego Park,E F M R
G15,65 St,E F M R
124,66 St-Lincoln Center,1 2
G09,67 Av,E F M R
628,68 St-Hunter College,4 6 6X
711,69 St,7 7X
D14,7 Av,B D E
D25,7 Av,B Q
F24,7 Av,F FX G
B17,71 St,D
123,72 St,1 2 3
A22,72 St,A B C
Q03,72 St,N Q R
710,74 St-Broadway,7 7X
F07,75 Av,E F FX
J17,75 St-Elderts Ln,J Z
627,77 St,4 6 6X
R43,77 St,R
122,79 St,1 2
B18,79 St,D
L01,8 Av,L
N02,8 Av,N W
R21,8 St-NYU,N Q R W
A59,80 St,A
A21,81 St-Museum of Natural History,A B C
709,82 St-Jackson Hts,7
J16,85 St-Forest Pkwy,J
121,86 St,1 2
626,86 St,4 5 6 6X
A20,86 St,A B C
N10,86 St,N W
Q04,86 St,N Q R
R44,86 St,R
A60,88 St,A
B12,9 Av,D R W
708,90 St-Elmhurst Av,7
120,96 St,1 2 3
625,96 St,4 6 6X
A19,96 St,A B C
Q05,96 St,N Q R
J24,Alabama Av,J Z
210,Allerton Av,2 5
S17,Annadale,SIR
H01,Aqueduct Racetrack,A
H02,Aqueduct-N Conduit Av,A
S11,Arthur Kill,SIR
636,Astor Pl,4 6 6X
R03,Astoria Blvd,N W
R01,Astoria-Ditmars Blvd,N W
L24,Atlantic Av,L
235,Atlantic Av-Barclays Ctr,2 3 4 5
D24,Atlantic Av-Barclays Ctr,B Q
R31,Atlantic Av-Barclays Ctr,D N R W
D32,Avenue H,Q
F31,Avenue I,F FX
D33,Avenue J,Q
D34,Avenue M,Q
F33,Avenue N,F FX
F34,Avenue P,F FX
F36,Avenue U,F FX
N09,Avenue U,N W
D37,Avenue U,Q
F38,Avenue X,F FX
B23,Bay 50 St,D
F32,Bay Pkwy,F FX
N07,Bay Pkwy,N W
B21,Bay Pkwy,D R W
R42,Bay Ridge Av,R
R45,Bay Ridge-95 St,R
S20,Bay Terrace,SIR
502,Baychester Av,5
H14,Beach 105 St,A S
H10,Beach 25 St,A
H09,Beach 36 St,A
H08,Beach 44 St,A
H07,Beach 60 St,A
H06,Beach 67 St,A
H12,Beach 90 St,A S
H13,Beach 98 St,A S
L08,Bedford Av,L
D03,Bedford Park Blvd,B D
405,Bedford Park Blvd-Lehman College,4
G33,Bedford-Nostrand Avs,G
236,Bergen St,2 3 4
F20,Bergen St,F G
D29,Beverley Rd,Q
245,Beverly Rd,2 5
637,Bleecker St,4 6 6X
232,Borough Hall,2 3
423,Borough Hall,4 5
S04,Botanic Garden,S
M19,Bowery,J Z
420,Bowling Green,4 5
F05,Briarwood,E F FX
D40,Brighton Beach,B Q
H04,Broad Channel,A S
M23,Broad St,J Z
G30,Broadway,G
R05,Broadway,N W
A51,Broadway Junction,A C
L22,Broadway Junction,L
J27,Broadway Junction,J Z
D21,Broadway-Lafayette St,B D F FX M
212,Bronx Park East,2 5
618,Brook Av,6
640,Brooklyn Bridge-City Hall,4 5 6 6X
602,Buhre Av,6 6X
209,Burke Av,2 5
409,Burnside Av,4
L21,Bushwick Av-Aberdeen St,L
135,Canal St,1 2
639,Canal St,4 6 6X
A34,Canal St,A C E
R23,Canal St,N R W
Q01,Canal St,N Q
M20,Canal St,J Z
L29,Canarsie-Rockaway Pkwy,L
F21,Carroll St,F G
607,Castle Hill Av,6 6X
118,Cathedral Pkwy (110 St),1
A17,Cathedral Pkwy (110 St),A B C
M10,Central Av,M
137,Chambers St,1 2 3
A36,Chambers St,A C
M21,Chambers St,J Z
J28,Chauncey St,J Z
133,Christopher St-Stonewall,1 2
244,Church Av,2 5
D28,Church Av,B Q
F27,Church Av,F FX G
R24,City Hall,N R W
231,Clark St,2 3
G34,Classon Av,G
J22,Cleveland St,J
S28,Clifton,SIR
A44,Clinton-Washington Avs,A C
G35,Clinton-Washington Avs,G
D43,Coney Island-Stillwell Av,D F FX N Q
D30,Cortelyou Rd,Q
R25,Cortlandt St,N R W
719,Court Sq,7 7X
G22,Court Sq,G
F09,Court Sq-23 St,E F FX
R28,Court St,N R W
J20,Crescent St,J Z
250,Crown Hts-Utica Av,2 3 4 5
617,Cypress Av,6
J19,Cypress Hills,J
R30,DeKalb Av,B D N Q R W
L16,DeKalb Av,L
F15,Delancey St-Essex St,F FX
M18,Delancey St-Essex St,J M Z
F29,Ditmas Av,F FX
S25,Dongan Hills,SIR
109,Dyckman St,1
A03,Dyckman St,A
616,E 143 St-St Mary's St,6
615,E 149 St,6
213,E 180 St,2 5
L28,East 105 St,L
F16,East Broadway,F FX
501,Eastchester-Dyre Av,5
238,Eastern Pkwy-Brooklyn Museum,2 3 4
611,Elder Av,6
G13,Elmhurst Av,E F M R
S18,Eltingville,SIR
A55,Euclid Av,A C
H11,Far Rockaway-Mott Av,A
247,Flatbush Av-Brooklyn College,2 5
G31,Flushing Av,G
M12,Flushing Av,J M
701,Flushing-Main St,7 7X
407,Fordham Rd,4
D05,Fordham Rd,B D
M05,Forest Av,M
G08,Forest Hills-71 Av,E F FX M R
F26,Fort Hamilton Pkwy,F G
N03,Fort Hamilton Pkwy,N W
B13,Fort Hamilton Pkwy,D
A45,Franklin Av,A C
S01,Franklin Av,S
239,Franklin Av-Medgar Evers College,2 3 4 5
136,Franklin St,1 2
216,Freeman St,2 5
M04,Fresh Pond Rd,M
229,Fulton St,2 3
418,Fulton St,4 5
A38,Fulton St,A C
G36,Fulton St,G
M22,Fulton St,J Z
J30,Gates Av,J Z
L11,Graham Av,L
237,Grand Army Plaza,2 3 4
G12,Grand Av-Newtown,E F M R
631,Grand Central-42 St,4 5 6 6X
723,Grand Central-42 St,7 7X
901,Grand Central-42 St,S
